               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045448,            0.065364,            0.016448,             0.71383,             0.64427,             0.71969,             0.47918,             0.04064,             0.03663,           0.0094938,              0.0937,              0.0007,              0.0007
                   1,            0.043833,            0.061739,            0.017214,             0.73784,             0.65144,             0.75079,             0.50139,            0.040073,            0.036016,            0.008564,            0.086485,           0.0014851,           0.0014851
                   2,            0.044757,            0.070137,            0.015992,             0.83021,              0.6249,             0.75735,             0.50491,            0.039815,            0.035407,           0.0078326,            0.079254,           0.0022545,           0.0022545
                   3,            0.044038,            0.062046,            0.013605,             0.82413,             0.64733,             0.76247,             0.51028,            0.040068,            0.035189,           0.0072675,            0.072008,           0.0030079,           0.0030079
                   4,            0.044532,            0.060826,            0.013259,             0.79384,             0.68082,             0.77408,             0.51141,            0.039855,            0.034623,           0.0067005,            0.064746,           0.0037456,           0.0037456
                   5,            0.045309,            0.056119,            0.013643,             0.78038,             0.70692,             0.78999,             0.49508,              0.0418,            0.033285,           0.0062017,            0.057467,           0.0044673,           0.0044673
                   6,            0.045337,            0.050455,            0.013334,             0.75667,             0.71464,             0.77946,             0.47264,             0.04325,            0.033201,           0.0060586,            0.050173,           0.0051733,           0.0051733
                   7,            0.047761,            0.060113,            0.010301,             0.78085,             0.71385,             0.79339,             0.50412,            0.042834,            0.032526,           0.0055193,            0.042863,           0.0058634,           0.0058634
                   8,            0.047441,            0.058361,            0.012353,             0.75347,             0.73256,             0.79348,             0.49399,            0.044266,            0.032535,           0.0052916,            0.035538,           0.0065377,           0.0065377
                   9,            0.046453,            0.054759,            0.010089,             0.75028,             0.76862,             0.80848,             0.49479,            0.043253,            0.032307,             0.00535,            0.028196,           0.0071961,           0.0071961
                  10,            0.048144,            0.062161,            0.010171,             0.74461,             0.76698,             0.81027,             0.48181,            0.045981,            0.030661,            0.005096,            0.020839,           0.0078387,           0.0078387
                  11,            0.047627,            0.055202,           0.0099091,             0.75711,             0.77458,              0.7955,              0.5148,            0.043728,            0.030225,           0.0051791,            0.013465,           0.0084655,           0.0084655
                  12,            0.046415,            0.049973,            0.011717,             0.80754,             0.77267,             0.82867,             0.53188,             0.04175,            0.029452,           0.0049732,            0.008812,            0.008812,            0.008812
                  13,            0.046677,            0.055467,            0.011076,             0.81609,             0.76714,             0.83056,             0.54485,            0.041912,            0.029178,           0.0050652,            0.008812,            0.008812,            0.008812
                  14,             0.04615,            0.048424,           0.0097643,             0.80105,             0.79024,              0.8431,             0.53549,            0.042328,            0.029398,           0.0051559,            0.008713,            0.008713,            0.008713
