               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10998,            0.030821,            0.029844,           0.0026193,             0.78241,           0.0059121,           0.0017011,            0.074486,            0.028564,            0.020825,              0.0883,              0.0013,              0.0013
                   1,            0.079026,            0.031323,            0.024256,           0.0033129,             0.98214,            0.091664,            0.031647,             0.05716,             0.02518,             0.01883,            0.075673,           0.0026733,           0.0026733
                   2,            0.062998,            0.028951,            0.020462,             0.14389,             0.41468,             0.16855,            0.043617,            0.056318,            0.019741,            0.017845,            0.063019,           0.0040188,           0.0040188
                   3,            0.060034,            0.021494,            0.018051,             0.29272,             0.80159,             0.44319,             0.17043,            0.043776,            0.016498,            0.015051,            0.050337,           0.0053367,           0.0053367
                   4,            0.059842,            0.019663,            0.017379,              0.3186,             0.70899,             0.39202,             0.18692,            0.062259,            0.012225,            0.014083,            0.037627,           0.0066268,           0.0066268
                   5,            0.055619,            0.018102,            0.015268,             0.48739,             0.55433,             0.48457,             0.19518,            0.048036,            0.011955,            0.012586,            0.024889,           0.0078891,           0.0078891
                   6,             0.05797,            0.016503,            0.011263,             0.42095,             0.69312,             0.62047,             0.32658,            0.051214,            0.012091,            0.010044,            0.012124,           0.0091238,           0.0091238
                   7,            0.055578,            0.014762,           0.0088493,             0.42961,              0.6369,             0.63383,             0.37152,            0.050463,            0.011593,           0.0096796,            0.009307,            0.009307,            0.009307
                   8,            0.055701,             0.01592,           0.0070832,             0.54961,             0.47619,               0.547,             0.21313,            0.055953,            0.011158,           0.0078432,            0.009307,            0.009307,            0.009307
                   9,            0.049615,            0.013093,           0.0062433,             0.70313,             0.70067,             0.74156,             0.45874,            0.039168,           0.0096759,             0.01051,            0.009208,            0.009208,            0.009208
                  10,            0.047264,            0.012306,           0.0054933,             0.79286,             0.71261,             0.80979,             0.48918,            0.037625,           0.0089199,            0.010452,            0.009109,            0.009109,            0.009109
                  11,            0.043763,            0.012663,           0.0044876,             0.63136,              0.8509,             0.72939,             0.35529,            0.039796,           0.0092311,           0.0080439,             0.00901,             0.00901,             0.00901
                  12,            0.042314,             0.01152,            0.004199,             0.64532,             0.88659,             0.81832,             0.53829,            0.033075,           0.0082603,           0.0071369,            0.008911,            0.008911,            0.008911
                  13,            0.037224,            0.010935,            0.006176,             0.65074,             0.63757,             0.67404,             0.40255,            0.035818,           0.0092798,           0.0078338,            0.008812,            0.008812,            0.008812
                  14,            0.037512,            0.010213,           0.0043181,             0.52646,             0.57738,             0.51988,             0.27983,            0.035091,           0.0097731,            0.025314,            0.008713,            0.008713,            0.008713
                  15,            0.034924,            0.010338,           0.0050009,             0.62908,             0.83532,             0.81531,             0.55957,             0.02805,           0.0069055,            0.008296,            0.008614,            0.008614,            0.008614
                  16,            0.035624,            0.010749,           0.0043729,               0.914,             0.90368,             0.96136,             0.60563,            0.025324,           0.0062597,            0.002786,            0.008515,            0.008515,            0.008515
                  17,            0.035914,             0.01056,           0.0050035,             0.72936,             0.89629,             0.91163,             0.41706,            0.036174,            0.006707,           0.0029078,            0.008416,            0.008416,            0.008416
                  18,            0.034229,            0.010087,           0.0045566,             0.88929,             0.96429,             0.96515,             0.61132,            0.025583,           0.0057737,           0.0022999,            0.008317,            0.008317,            0.008317
                  19,            0.033917,           0.0098033,           0.0029707,             0.93469,             0.81301,             0.89868,             0.57113,            0.028898,             0.00818,            0.003522,            0.008218,            0.008218,            0.008218
                  20,             0.03164,           0.0092437,           0.0028486,             0.98939,             0.82486,             0.90236,               0.557,            0.029005,           0.0086526,           0.0018161,            0.008119,            0.008119,            0.008119
                  21,             0.03002,           0.0092625,           0.0026023,             0.91534,             0.89087,             0.89794,             0.65155,              0.0257,           0.0070378,           0.0063719,             0.00802,             0.00802,             0.00802
                  22,            0.028368,           0.0086906,           0.0024014,             0.91226,             0.87309,             0.91461,             0.68886,            0.022166,           0.0071941,           0.0055715,            0.007921,            0.007921,            0.007921
                  23,            0.029644,           0.0089667,            0.002529,              0.9778,             0.92089,             0.97967,             0.70482,            0.020427,           0.0052621,           0.0042425,            0.007822,            0.007822,            0.007822
                  24,            0.027558,           0.0089008,            0.002182,             0.97086,             0.92791,             0.95106,             0.60654,            0.023194,           0.0059646,           0.0037627,            0.007723,            0.007723,            0.007723
                  25,            0.025675,            0.007639,           0.0026269,             0.89236,             0.79139,             0.88373,             0.58864,             0.02761,           0.0076951,           0.0048173,            0.007624,            0.007624,            0.007624
                  26,            0.028291,           0.0078086,           0.0026452,             0.96498,             0.90163,             0.93322,              0.6212,            0.027048,           0.0058677,           0.0035327,            0.007525,            0.007525,            0.007525
                  27,            0.027421,           0.0079427,            0.002069,                   1,             0.94429,             0.96799,             0.73557,            0.020589,            0.005519,           0.0052785,            0.007426,            0.007426,            0.007426
                  28,            0.026058,           0.0079351,           0.0026695,             0.92345,             0.90701,             0.95281,             0.72875,            0.021671,           0.0059882,           0.0052579,            0.007327,            0.007327,            0.007327
                  29,            0.026956,           0.0076455,           0.0025814,              0.9635,             0.93146,             0.97304,             0.77398,            0.019045,           0.0056142,            0.006173,            0.007228,            0.007228,            0.007228
                  30,             0.02478,           0.0072674,           0.0036335,             0.93937,              0.8712,             0.95348,             0.73061,            0.019423,           0.0056859,           0.0054154,            0.007129,            0.007129,            0.007129
                  31,            0.025577,           0.0079729,           0.0024642,             0.96906,             0.92094,             0.94624,             0.76437,            0.019498,           0.0054426,           0.0070417,             0.00703,             0.00703,             0.00703
                  32,            0.023481,           0.0072354,           0.0030794,             0.97827,             0.92725,             0.95698,             0.82394,            0.016076,           0.0048052,           0.0071314,            0.006931,            0.006931,            0.006931
                  33,            0.023128,           0.0080669,           0.0020523,             0.97629,             0.96154,             0.97403,             0.80845,            0.016075,           0.0042016,           0.0066057,            0.006832,            0.006832,            0.006832
                  34,            0.025491,           0.0074515,           0.0017932,             0.99261,             0.94441,             0.96939,             0.74123,              0.0176,           0.0047368,           0.0043667,            0.006733,            0.006733,            0.006733
                  35,            0.022397,            0.007368,           0.0027468,             0.97778,             0.97808,             0.97945,             0.71962,             0.02348,           0.0046263,           0.0031547,            0.006634,            0.006634,            0.006634
                  36,            0.024027,            0.006975,           0.0016068,             0.98076,             0.95788,              0.9789,             0.78032,            0.016931,           0.0041529,            0.006061,            0.006535,            0.006535,            0.006535
                  37,             0.02238,           0.0069803,            0.001446,             0.97102,             0.96362,             0.97872,             0.70548,            0.022529,           0.0045691,           0.0064454,            0.006436,            0.006436,            0.006436
                  38,            0.023153,           0.0075226,             0.00165,             0.99465,             0.95941,                0.98,             0.85481,            0.014943,            0.004433,           0.0071815,            0.006337,            0.006337,            0.006337
                  39,            0.019959,           0.0068935,           0.0014892,             0.97718,             0.96429,             0.97763,             0.78692,            0.017153,           0.0043037,           0.0068614,            0.006238,            0.006238,            0.006238
                  40,            0.022877,            0.006932,           0.0016974,             0.97765,             0.96429,              0.9782,             0.81225,              0.0151,           0.0041802,           0.0051783,            0.006139,            0.006139,            0.006139
                  41,            0.021428,           0.0070842,           0.0015768,             0.97675,             0.96429,             0.97736,             0.76194,            0.018552,           0.0045705,           0.0039402,             0.00604,             0.00604,             0.00604
                  42,            0.021706,           0.0070707,           0.0016259,             0.97863,             0.95431,             0.97517,             0.82842,            0.014774,           0.0043945,           0.0044092,            0.005941,            0.005941,            0.005941
                  43,             0.01949,            0.006934,           0.0013505,             0.97897,             0.96429,             0.97726,             0.80379,            0.016886,           0.0040631,           0.0050302,            0.005842,            0.005842,            0.005842
                  44,            0.020769,            0.007204,            0.001712,             0.99145,             0.96639,             0.98525,             0.86776,            0.013932,           0.0038575,           0.0038038,            0.005743,            0.005743,            0.005743
                  45,            0.018014,           0.0070151,           0.0019865,             0.99539,             0.92339,             0.94467,             0.74799,            0.019419,            0.005614,           0.0037076,            0.005644,            0.005644,            0.005644
                  46,            0.019868,           0.0066887,           0.0018522,             0.98731,             0.90873,             0.94083,             0.83806,            0.015531,           0.0055301,           0.0037422,            0.005545,            0.005545,            0.005545
                  47,            0.018808,           0.0062766,            0.002561,             0.98953,             0.96164,             0.96992,             0.82001,            0.014379,           0.0043689,           0.0053676,            0.005446,            0.005446,            0.005446
                  48,            0.018606,           0.0068227,           0.0015577,             0.99779,             0.95513,             0.97151,             0.82891,            0.015774,           0.0043563,            0.005911,            0.005347,            0.005347,            0.005347
                  49,            0.018301,           0.0063124,           0.0023495,              0.9915,             0.96151,             0.97957,             0.84984,            0.017453,           0.0043541,           0.0045116,            0.005248,            0.005248,            0.005248
                  50,            0.019561,           0.0064197,           0.0029023,             0.96086,             0.96308,             0.97895,             0.86352,            0.012617,           0.0036726,           0.0063258,            0.005149,            0.005149,            0.005149
                  51,            0.017141,           0.0063108,           0.0010889,             0.98822,             0.96592,             0.98737,             0.80716,            0.015372,           0.0037782,           0.0052452,             0.00505,             0.00505,             0.00505
                  52,            0.016896,           0.0062943,           0.0023642,             0.93322,             0.92531,             0.95986,             0.83767,               0.013,           0.0035379,           0.0077104,            0.004951,            0.004951,            0.004951
                  53,            0.016617,           0.0063346,           0.0022621,             0.94539,             0.92857,             0.94521,             0.82908,            0.015028,           0.0037648,           0.0090981,            0.004852,            0.004852,            0.004852
                  54,            0.016445,            0.005895,           0.0034128,             0.90751,             0.84999,             0.87151,             0.75851,            0.019091,            0.006121,            0.013033,            0.004753,            0.004753,            0.004753
                  55,            0.015687,           0.0061937,           0.0027459,             0.97349,             0.90148,             0.92595,             0.83015,             0.01638,           0.0057305,            0.005789,            0.004654,            0.004654,            0.004654
                  56,            0.015532,           0.0059988,           0.0013989,             0.99291,              0.8708,             0.92371,             0.73252,            0.021188,           0.0066579,           0.0035565,            0.004555,            0.004555,            0.004555
                  57,            0.015745,           0.0063522,           0.0019943,             0.98301,             0.92725,             0.94429,             0.77799,            0.018215,           0.0056236,           0.0027164,            0.004456,            0.004456,            0.004456
                  58,            0.016585,           0.0058768,           0.0013935,             0.98983,             0.99622,               0.995,             0.90478,            0.010942,           0.0031409,           0.0012228,            0.004357,            0.004357,            0.004357
                  59,            0.016048,           0.0058114,           0.0011711,             0.98262,             0.99115,             0.99448,             0.86774,            0.012873,           0.0035251,           0.0018546,            0.004258,            0.004258,            0.004258
                  60,            0.016429,           0.0056619,           0.0010259,                   1,             0.89972,             0.92937,             0.80629,            0.018313,           0.0051284,           0.0021192,            0.004159,            0.004159,            0.004159
                  61,            0.015088,           0.0060241,           0.0013003,             0.96752,             0.92725,             0.92664,             0.77761,            0.019764,           0.0055822,           0.0024736,             0.00406,             0.00406,             0.00406
                  62,            0.015833,           0.0059512,            0.001288,             0.99502,             0.94346,             0.96352,             0.88928,            0.011719,           0.0040039,           0.0047997,            0.003961,            0.003961,            0.003961
                  63,            0.014832,           0.0055982,             0.00187,             0.99527,             0.92725,             0.96398,             0.87254,            0.013773,           0.0042239,           0.0026166,            0.003862,            0.003862,            0.003862
                  64,            0.015202,           0.0056242,           0.0014373,             0.99321,             0.92725,             0.94665,             0.85311,            0.016527,           0.0052519,           0.0038398,            0.003763,            0.003763,            0.003763
                  65,            0.014646,            0.005579,           0.0014417,             0.96663,             0.90424,             0.94753,             0.82156,            0.017204,           0.0054712,           0.0046766,            0.003664,            0.003664,            0.003664
                  66,            0.014632,            0.005536,          0.00097315,             0.96461,             0.93957,             0.94773,              0.8668,            0.014571,           0.0045296,           0.0047512,            0.003565,            0.003565,            0.003565
                  67,            0.013478,           0.0055551,          0.00074474,             0.97862,             0.93504,             0.94687,             0.83592,            0.016538,           0.0051399,           0.0049721,            0.003466,            0.003466,            0.003466
                  68,            0.013607,           0.0052574,           0.0013378,             0.95901,              0.9241,             0.94563,             0.82904,            0.014795,           0.0061443,           0.0054214,            0.003367,            0.003367,            0.003367
                  69,            0.012905,           0.0052029,           0.0016816,             0.99545,             0.94511,             0.95431,              0.8908,            0.011852,           0.0039548,           0.0039732,            0.003268,            0.003268,            0.003268
                  70,            0.012958,           0.0053856,           0.0010438,             0.99472,             0.96554,             0.98276,             0.91769,           0.0098083,           0.0037397,           0.0028646,            0.003169,            0.003169,            0.003169
                  71,             0.01232,           0.0049147,           0.0010533,             0.98964,             0.97941,             0.98178,             0.90052,            0.011178,           0.0036278,           0.0011457,             0.00307,             0.00307,             0.00307
                  72,            0.013206,           0.0052474,          0.00084155,             0.99112,             0.98079,             0.98033,             0.91382,           0.0089897,            0.003323,           0.0012426,            0.002971,            0.002971,            0.002971
                  73,            0.012176,           0.0055009,           0.0016319,             0.99679,             0.98214,             0.98575,             0.91992,            0.010196,           0.0031107,          0.00093086,            0.002872,            0.002872,            0.002872
                  74,            0.011951,           0.0050592,          0.00062838,             0.99715,             0.98214,              0.9875,             0.95137,           0.0084676,           0.0028838,          0.00070032,            0.002773,            0.002773,            0.002773
                  75,            0.011551,           0.0044833,          0.00079869,             0.99795,             0.98214,             0.98646,             0.90358,            0.010173,           0.0031221,          0.00082808,            0.002674,            0.002674,            0.002674
                  76,            0.012786,           0.0047604,            0.001983,             0.99548,             0.92725,             0.96146,             0.92927,             0.01253,           0.0037321,           0.0026034,            0.002575,            0.002575,            0.002575
                  77,            0.011133,           0.0051247,          0.00068104,             0.99447,             0.98189,             0.98408,             0.93807,           0.0090691,           0.0030136,           0.0026817,            0.002476,            0.002476,            0.002476
                  78,            0.011107,           0.0043238,          0.00063791,             0.99521,             0.98214,             0.99167,             0.93018,           0.0090305,           0.0030199,           0.0020097,            0.002377,            0.002377,            0.002377
                  79,            0.012591,           0.0047537,            0.001274,             0.99527,             0.98214,             0.99167,             0.95216,            0.009542,           0.0029919,           0.0012974,            0.002278,            0.002278,            0.002278
                  80,            0.011312,           0.0048649,          0.00067764,             0.99412,             0.97917,             0.98609,             0.96197,           0.0080129,           0.0029125,          0.00085487,            0.002179,            0.002179,            0.002179
                  81,            0.010507,            0.004514,          0.00081666,             0.99623,             0.98214,             0.98583,             0.94218,           0.0084215,           0.0028236,           0.0010962,             0.00208,             0.00208,             0.00208
                  82,             0.01034,           0.0045517,          0.00074485,             0.99595,             0.98214,             0.98808,             0.94434,           0.0095125,           0.0028287,           0.0016185,            0.001981,            0.001981,            0.001981
                  83,            0.010439,           0.0049409,          0.00061346,             0.99573,             0.98214,             0.99448,             0.95264,           0.0085294,           0.0026554,           0.0012153,            0.001882,            0.001882,            0.001882
                  84,            0.010134,           0.0046398,          0.00070196,             0.99582,             0.98214,             0.99448,             0.96399,           0.0079349,           0.0025193,           0.0005778,            0.001783,            0.001783,            0.001783
                  85,            0.010388,           0.0046861,          0.00066689,             0.99636,             0.98214,               0.992,             0.96343,           0.0073136,           0.0026028,          0.00098565,            0.001684,            0.001684,            0.001684
                  86,            0.011184,           0.0045497,           0.0012823,             0.99677,             0.98214,             0.98133,             0.95065,           0.0083885,           0.0025661,           0.0012662,            0.001585,            0.001585,            0.001585
                  87,            0.010177,           0.0046803,           0.0014788,             0.99547,             0.98214,             0.98575,             0.95519,           0.0082813,           0.0026432,          0.00067239,            0.001486,            0.001486,            0.001486
                  88,            0.009654,           0.0048508,          0.00083234,             0.99507,             0.98214,             0.98933,             0.95142,           0.0071154,           0.0025193,          0.00054484,            0.001387,            0.001387,            0.001387
                  89,           0.0088609,           0.0043203,          0.00087394,             0.99518,             0.98214,             0.99135,             0.97481,           0.0068755,           0.0023693,          0.00045423,            0.001288,            0.001288,            0.001288
                  90,           0.0084517,            0.004169,          0.00039184,             0.99598,             0.98214,             0.99355,             0.97353,            0.006511,           0.0024421,          0.00032273,            0.001189,            0.001189,            0.001189
                  91,           0.0085911,           0.0040229,          0.00040376,             0.99544,             0.98214,             0.98568,             0.96735,           0.0073158,           0.0024443,          0.00051705,             0.00109,             0.00109,             0.00109
                  92,           0.0080036,           0.0039654,          0.00056037,             0.99442,             0.98214,             0.98477,             0.96187,           0.0070057,           0.0024262,          0.00060372,            0.000991,            0.000991,            0.000991
                  93,           0.0084275,            0.004294,           0.0010462,             0.99413,             0.98214,             0.98894,             0.96644,           0.0071406,           0.0025719,          0.00059407,            0.000892,            0.000892,            0.000892
                  94,            0.007994,           0.0039042,           0.0011349,             0.99422,             0.98214,             0.99235,             0.97831,           0.0063047,           0.0025981,          0.00061638,            0.000793,            0.000793,            0.000793
                  95,           0.0078844,           0.0040356,           0.0010456,             0.99497,             0.98214,             0.99273,             0.98332,           0.0059759,           0.0025379,          0.00071036,            0.000694,            0.000694,            0.000694
                  96,           0.0074958,           0.0039738,          0.00054709,             0.99575,             0.98214,               0.994,             0.98329,           0.0061861,            0.002453,          0.00049314,            0.000595,            0.000595,            0.000595
                  97,           0.0079573,           0.0042869,          0.00042371,             0.99629,             0.98214,             0.99448,             0.98196,           0.0065776,           0.0021817,          0.00035078,            0.000496,            0.000496,            0.000496
                  98,           0.0075909,            0.004079,           0.0010093,             0.99679,             0.98214,             0.99448,              0.9791,           0.0060756,           0.0021905,          0.00033741,            0.000397,            0.000397,            0.000397
                  99,           0.0074199,           0.0036362,          0.00042182,             0.99693,             0.98214,             0.99448,             0.98588,           0.0059855,           0.0022099,          0.00040895,            0.000298,            0.000298,            0.000298
